GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_ML,AWAY_ML,HOME_SPREAD,HOME_SPREAD_ODDS,AWAY_SPREAD,AWAY_SPREAD_ODDS,BOOKMAKER
2025-12-16T00:10:00Z,Boston Celtics,Detroit Pistons,-124,106,-1.5,-112,1.5,-108,FanDuel
2025-12-16T00:40:00Z,Miami Heat,Toronto Raptors,-215,180,-6.0,-108,6.0,-112,FanDuel
2025-12-16T02:10:00Z,Utah Jazz,Dallas Mavericks,116,-136,2.5,-114,-2.5,-106,FanDuel
2025-12-16T02:40:00Z,Denver Nuggets,Houston Rockets,-116,-102,-1.5,-106,1.5,-114,FanDuel
2025-12-16T03:40:00Z,Los Angeles Clippers,Memphis Grizzlies,-172,144,-4.5,-106,4.5,-114,FanDuel
2025-12-17T01:40:00Z,New York Knicks,San Antonio Spurs,-135,114,-2.5,-110,2.5,-110,DraftKings
