Date,Team,Result,Odds,My_Prob,Vegas_Prob,Edge,Bet_Pct,Bet_Amt,Profit,Bankroll
2022-12-05,CHA,LOSS,200.0,47.1%,33.3%,13.7%,1.0%,$250.24,-250.2433857030773,24774.095184604652
2022-12-06,MIA,LOSS,-300.0,78.2%,75.0%,3.2%,2.0%,$477.31,-477.30790894005685,24296.787275664596
2022-12-06,DAL,WIN,165.0,39.5%,37.7%,1.7%,0.4%,$102.01,168.31951866771118,24465.106794332307
2022-12-07,SAC,LOSS,210.0,41.2%,32.3%,8.9%,1.0%,$244.65,-244.65106794332308,24220.455726388984
2022-12-07,CHI,WIN,-200.0,68.6%,66.7%,2.0%,0.9%,$214.23,107.11746282933791,24327.57318921832
2022-12-07,LAL,LOSS,525.0,22.7%,16.0%,6.7%,1.0%,$243.28,-243.27573189218322,24084.297457326138
2022-12-07,CHA,LOSS,375.0,23.0%,21.1%,1.9%,0.4%,$87.61,-87.61393224271195,23996.683525083427
2022-12-07,ORL,WIN,210.0,40.5%,32.3%,8.3%,1.0%,$239.97,503.93035402675196,24500.613879110177
2022-12-08,DEN,WIN,-130.0,66.5%,56.5%,10.0%,2.9%,$735.02,565.3987818256194,25066.012660935798
2022-12-08,HOU,LOSS,-130.0,63.8%,56.5%,7.3%,2.6%,$630.44,-630.4389386435054,24435.57372229229
2022-12-09,DAL,LOSS,-115.0,55.0%,53.5%,1.5%,0.5%,$120.30,-120.29737252259575,24315.276349769694
2022-12-09,UTA,LOSS,-110.0,56.4%,52.4%,4.0%,1.3%,$309.55,-309.548340247523,24005.728009522172
2022-12-09,PHI,WIN,-200.0,71.6%,66.7%,4.9%,2.2%,$534.02,267.00751784589136,24272.735527368062
2022-12-09,CLE,LOSS,-160.0,64.6%,61.5%,3.0%,1.2%,$286.43,-286.4322366463256,23986.30329072174
2022-12-09,ATL,LOSS,240.0,32.1%,29.4%,2.7%,0.6%,$136.63,-136.6292525990261,23849.674038122714
2022-12-09,ORL,WIN,290.0,30.6%,25.6%,4.9%,1.0%,$236.85,686.8788447126093,24536.552882835324
2022-12-09,NYK,WIN,-175.0,66.5%,63.6%,2.9%,1.2%,$289.10,165.20138313553798,24701.754265970863
2022-12-10,BOS,LOSS,-135.0,67.2%,57.4%,9.7%,3.1%,$741.05,-741.0526279791259,23960.701637991737
2022-12-10,MIN,LOSS,180.0,49.0%,35.7%,13.2%,3.1%,$718.82,-718.8210491397521,23241.880588851986
2022-12-10,UTA,LOSS,450.0,21.3%,18.2%,3.1%,0.6%,$133.82,-133.8236793032497,23108.056909548737
2022-12-10,CLE,WIN,-190.0,69.8%,65.5%,4.3%,1.8%,$427.21,224.84964406807333,23332.90655361681
2022-12-10,SAS,WIN,500.0,25.9%,16.7%,9.2%,1.0%,$233.33,1166.6453276808404,24499.551881297648
2022-12-11,HOU,WIN,375.0,30.3%,21.1%,9.3%,1.0%,$245.00,918.7331955486618,25418.28507684631
2022-12-11,ORL,WIN,210.0,34.5%,32.3%,2.2%,0.5%,$126.11,264.82251884019973,25683.10759568651
2022-12-11,NYK,WIN,-140.0,60.9%,58.3%,2.6%,0.9%,$240.92,172.08447554444845,25855.19207123096
2022-12-11,DET,LOSS,175.0,45.1%,36.4%,8.7%,2.1%,$530.18,-530.1847774502534,25325.007293780705
2022-12-11,NOP,WIN,-165.0,75.0%,62.3%,12.7%,2.9%,$759.75,460.45467806874,25785.461971849447
2022-12-12,BOS,LOSS,-175.0,66.7%,63.6%,3.1%,1.3%,$326.37,-326.3660427742234,25459.09592907522
2022-12-12,MIN,LOSS,150.0,48.4%,40.0%,8.4%,2.1%,$532.15,-532.1507043101851,24926.945224765037
2022-12-12,SAS,WIN,340.0,24.7%,22.7%,2.0%,0.4%,$96.38,327.7006624328036,25254.64588719784
2022-12-12,BKN,WIN,-200.0,71.8%,66.7%,5.1%,2.3%,$580.57,290.28471458316653,25544.930601781005
2022-12-12,IND,LOSS,135.0,54.5%,42.6%,12.0%,3.1%,$766.35,-766.3479180534301,24778.582683727574
2022-12-12,OKC,LOSS,290.0,29.8%,25.6%,4.2%,0.9%,$209.65,-209.64898972693015,24568.933694000643
2022-12-13,NOP,LOSS,-130.0,68.8%,56.5%,12.3%,3.1%,$737.07,-737.0680108200193,23831.865683180626
2022-12-13,LAL,LOSS,150.0,42.6%,40.0%,2.6%,0.7%,$155.13,-155.13145019744118,23676.734232983184
2022-12-13,UTA,WIN,110.0,51.4%,47.6%,3.8%,1.1%,$254.28,279.708955504744,23956.443188487927
2022-12-13,MIL,WIN,-145.0,67.6%,59.2%,8.4%,2.9%,$718.69,495.6505487273364,24452.093737215262
2022-12-13,SAC,LOSS,145.0,43.0%,40.8%,2.1%,0.5%,$132.98,-132.97578362619538,24319.117953589066
2022-12-13,PHI,WIN,-165.0,64.7%,62.3%,2.5%,1.0%,$237.89,144.17593626720748,24463.293889856275
2022-12-13,HOU,WIN,200.0,44.1%,33.3%,10.7%,1.0%,$244.63,489.26587779712554,24952.5597676534
2022-12-14,OKC,LOSS,120.0,49.3%,45.5%,3.9%,1.1%,$264.68,-264.6792441828198,24687.880523470583
2022-12-14,SAS,LOSS,260.0,30.4%,27.8%,2.7%,0.6%,$136.32,-136.31960534071314,24551.56091812987
2022-12-14,NYK,WIN,135.0,44.7%,42.6%,2.1%,0.5%,$135.54,182.98184673286548,24734.542764862737
2022-12-14,SAC,WIN,175.0,50.7%,36.4%,14.3%,2.9%,$742.04,1298.5634951552938,26033.10626001803
2022-12-14,GSW,LOSS,-120.0,57.0%,54.5%,2.4%,0.8%,$208.71,-208.710464618728,25824.3957953993
2022-12-14,DET,WIN,165.0,51.1%,37.7%,13.3%,2.9%,$774.73,1278.3075918722652,27102.703387271566
2022-12-15,LAC,LOSS,200.0,43.8%,33.3%,10.5%,1.0%,$271.03,-271.02703387271566,26831.67635339885
2022-12-15,UTA,WIN,100.0,52.4%,50.0%,2.4%,0.7%,$192.66,192.65647760706364,27024.33283100591
2022-12-15,MEM,WIN,-145.0,70.2%,59.2%,11.0%,2.9%,$810.73,559.1241275380534,27583.456958543964
2022-12-15,HOU,LOSS,135.0,45.7%,42.6%,3.2%,0.8%,$227.71,-227.71447251678975,27355.742486027175
2022-12-16,LAL,WIN,110.0,58.0%,47.6%,10.3%,2.9%,$810.63,891.6926321562256,28247.4351181834
2022-12-16,POR,LOSS,160.0,44.8%,38.5%,6.4%,1.6%,$438.18,-438.1785462181294,27809.25657196527
2022-12-16,DAL,WIN,-180.0,68.5%,64.3%,4.2%,1.8%,$495.92,275.5087554525968,28084.765327417867
2022-12-16,MIN,WIN,155.0,49.9%,39.2%,10.6%,2.5%,$737.86,1143.6808878307759,29228.44621524864
2022-12-16,NYK,WIN,120.0,58.1%,45.5%,12.6%,2.9%,$876.85,1052.2240637489513,30280.670278997593
2022-12-16,BKN,WIN,-120.0,64.1%,54.5%,9.6%,2.9%,$908.42,757.01675697494,31037.687035972533
2022-12-16,DEN,LOSS,-130.0,58.1%,56.5%,1.6%,0.6%,$171.78,-171.77640044352867,30865.910635529002
2022-12-16,GSW,LOSS,320.0,28.2%,23.8%,4.4%,0.9%,$266.05,-266.05412461473105,30599.856510914273
2022-12-16,IND,LOSS,250.0,30.1%,28.6%,1.5%,0.3%,$96.61,-96.61147804712614,30503.245032867148
2022-12-16,ORL,WIN,650.0,20.8%,13.3%,7.4%,0.9%,$305.03,1982.7109271363645,32485.955960003514
2022-12-17,OKC,WIN,425.0,22.0%,19.0%,2.9%,0.5%,$174.73,742.5866574858596,33228.54261748937
2022-12-17,NOP,LOSS,130.0,45.0%,43.5%,1.5%,0.4%,$134.87,-134.8744538314667,33093.66816365791
2022-12-17,SAS,LOSS,270.0,30.6%,27.0%,3.5%,0.7%,$240.23,-240.22890895796579,32853.439254699944
2022-12-17,LAC,WIN,-200.0,74.1%,66.7%,7.4%,3.0%,$985.60,492.80158882049915,33346.24084352044
2022-12-18,LAL,WIN,-150.0,73.9%,60.0%,13.9%,2.9%,$1000.39,666.9248168704087,34013.16566039085
2022-12-18,DEN,WIN,-380.0,84.3%,79.2%,5.2%,3.0%,$1020.39,268.5249920557172,34281.69065244657
2022-12-18,CHA,LOSS,320.0,27.5%,23.8%,3.7%,0.7%,$250.30,-250.29676001400577,34031.39389243256
2022-12-18,MIN,WIN,110.0,49.7%,47.6%,2.1%,0.6%,$202.96,223.2559128425071,34254.64980527507
2022-12-18,ORL,WIN,425.0,24.8%,19.0%,5.8%,1.0%,$342.55,1455.8226167241903,35710.47242199926
2022-12-18,DET,LOSS,290.0,27.2%,25.6%,1.6%,0.3%,$114.04,-114.03743315256266,35596.4349888467
2022-12-19,CHA,WIN,400.0,24.9%,20.0%,4.9%,0.9%,$329.09,1316.3615253395474,36912.796514186244
2022-12-19,LAL,LOSS,450.0,20.2%,18.2%,2.1%,0.4%,$139.92,-139.91854750003668,36772.87796668621
2022-12-19,NOP,LOSS,-110.0,57.2%,52.4%,4.8%,1.6%,$561.33,-561.3272421734478,36211.55072451276
2022-12-19,OKC,WIN,150.0,43.7%,40.0%,3.7%,0.9%,$330.49,495.73023883277574,36707.28096334553
2022-12-19,ORL,LOSS,290.0,37.9%,25.6%,12.2%,1.0%,$367.07,-367.07280963345534,36340.208153712076
2022-12-19,PHI,WIN,-265.0,77.7%,72.6%,5.1%,2.8%,$1010.83,381.44513546658897,36721.65328917866
2022-12-19,CLE,WIN,-250.0,74.0%,71.4%,2.6%,1.4%,$499.21,199.68503596333076,36921.338325141995
2022-12-20,NYK,WIN,-220.0,74.0%,68.8%,5.2%,2.5%,$927.69,421.6752725958038,37343.0135977378
2022-12-20,UTA,WIN,-140.0,63.1%,58.3%,4.8%,1.7%,$644.59,460.4220049501462,37803.43560268795
2022-12-20,MIA,LOSS,-120.0,65.3%,54.5%,10.8%,3.1%,$1134.10,-1134.1030680806384,36669.33253460731
2022-12-21,LAC,WIN,-350.0,80.4%,77.8%,2.6%,1.8%,$652.48,186.42225570862323,36855.754790315936
2022-12-21,OKC,WIN,145.0,49.5%,40.8%,8.7%,2.1%,$809.50,1173.7711369577717,38029.52592727371
2022-12-21,MIN,LOSS,110.0,61.7%,47.6%,14.1%,3.1%,$1140.89,-1140.8857778182112,36888.640149455496
2022-12-21,ORL,WIN,-110.0,64.5%,52.4%,12.1%,2.9%,$1106.66,1006.0538222578772,37894.69397171337
2022-12-21,IND,WIN,375.0,28.5%,21.1%,7.4%,1.0%,$378.95,1421.0510239392515,39315.744995652625
2022-12-21,CHI,WIN,175.0,47.5%,36.4%,11.1%,2.5%,$1029.88,1802.2930665300296,41118.038062182655
2022-12-21,CLE,WIN,-140.0,64.4%,58.3%,6.1%,2.2%,$904.99,646.4191344626568,41764.457196645315
2022-12-22,UTA,WIN,-260.0,78.4%,72.2%,6.2%,3.0%,$1252.93,481.8975830382151,42246.354779683534
2022-12-23,IND,WIN,205.0,43.8%,32.8%,11.0%,1.0%,$422.46,866.0502729835124,43112.40505266705
2022-12-23,LAL,LOSS,-150.0,69.1%,60.0%,9.1%,3.1%,$1293.37,-1293.3721515800114,41819.032901087034
2022-12-23,DEN,WIN,-200.0,73.6%,66.7%,6.9%,3.0%,$1254.57,627.2854935163055,42446.31839460334
2022-12-23,PHX,LOSS,130.0,46.9%,43.5%,3.4%,0.9%,$387.84,-387.8363688124751,42058.482025790865
2022-12-23,ORL,WIN,-230.0,75.4%,69.7%,5.7%,2.8%,$1190.15,517.4583973985494,42575.940423189415
2022-12-23,PHI,WIN,-170.0,75.2%,63.0%,12.2%,2.9%,$1277.28,751.3401251151075,43327.28054830452
2022-12-23,MIN,LOSS,375.0,35.3%,21.1%,14.3%,1.0%,$433.27,-433.27280548304526,42894.00774282148
2022-12-23,BKN,WIN,-140.0,69.7%,58.3%,11.3%,2.9%,$1286.82,919.1573087747462,43813.165051596225
2022-12-23,CLE,LOSS,-190.0,75.3%,65.5%,9.8%,3.1%,$1314.39,-1314.3949515478866,42498.770100048336
2022-12-23,DET,LOSS,350.0,27.9%,22.2%,5.7%,1.0%,$424.99,-424.98770100048336,42073.78239904785
2022-12-25,GSW,WIN,230.0,42.4%,30.3%,12.1%,1.0%,$420.74,967.6969951781005,43041.47939422595
2022-12-25,DEN,WIN,-170.0,72.6%,63.0%,9.6%,2.9%,$1291.24,759.5555187216345,43801.03491294759
2022-12-25,MIL,LOSS,190.0,38.2%,34.5%,3.7%,0.9%,$369.27,-369.2698825280623,43431.76503041953
2022-12-25,LAL,LOSS,260.0,32.9%,27.8%,5.2%,1.0%,$434.32,-434.3176503041953,42997.44738011533
2022-12-25,NYK,LOSS,105.0,55.1%,48.8%,6.4%,1.9%,$800.86,-800.8619090853613,42196.58547102997
2022-12-26,POR,WIN,-210.0,73.3%,67.7%,5.5%,2.5%,$1081.56,515.0307347409704,42711.61620577094
2022-12-26,UTA,LOSS,-185.0,71.0%,64.9%,6.1%,2.7%,$1105.80,-1105.8013709462712,41605.81483482467
2022-12-26,NOP,WIN,-130.0,66.4%,56.5%,9.9%,2.9%,$1248.17,960.1341884959537,42565.94902332062
2022-12-26,BKN,WIN,110.0,59.4%,47.6%,11.8%,2.9%,$1276.98,1404.6763177695805,43970.625341090206
2022-12-26,CHI,LOSS,-270.0,75.8%,73.0%,2.8%,1.6%,$694.33,-694.3262059071379,43276.29913518307
2022-12-27,GSW,WIN,-190.0,80.0%,65.5%,14.5%,3.0%,$1298.29,683.3099863449958,43959.60912152807
2022-12-27,NYK,LOSS,180.0,42.6%,35.7%,6.9%,1.6%,$707.79,-707.787696480666,43251.821425047405
2022-12-27,HOU,LOSS,850.0,15.3%,10.5%,4.8%,0.8%,$344.64,-344.6409967971596,42907.18042825024
2022-12-27,PHI,LOSS,-190.0,68.8%,65.5%,3.3%,1.5%,$617.86,-617.8597378374839,42289.32069041276
2022-12-27,ORL,LOSS,-150.0,62.3%,60.0%,2.3%,0.9%,$361.90,-361.90179607308676,41927.41889433967
2022-12-28,BKN,WIN,-290.0,76.9%,74.4%,2.5%,1.5%,$616.87,212.71468498068376,42140.133579320354
2022-12-28,CHI,WIN,120.0,51.9%,45.5%,6.5%,1.7%,$752.57,903.0803359859517,43043.2139153063
2022-12-29,TOR,LOSS,155.0,45.9%,39.2%,6.7%,1.7%,$712.53,-712.5296226966077,42330.684292609694
2022-12-29,NYK,LOSS,-180.0,70.9%,64.3%,6.6%,2.8%,$1170.54,-1170.5352955739882,41160.14899703571
2022-12-29,IND,WIN,150.0,47.9%,40.0%,7.9%,1.9%,$817.43,1226.1478412678357,42386.29683830354
2022-12-29,OKC,LOSS,110.0,56.0%,47.6%,8.3%,2.4%,$1013.29,-1013.2909427871733,41373.00589551637
2022-12-30,SAC,WIN,-150.0,67.7%,60.0%,7.7%,2.8%,$1197.53,798.3557074031679,42171.36160291954
2022-12-30,DEN,WIN,-180.0,73.5%,64.3%,9.2%,3.0%,$1265.14,702.8560267153257,42874.21762963486
2022-12-30,MIN,LOSS,260.0,35.1%,27.8%,7.3%,1.0%,$428.74,-428.74217629634865,42445.47545333851
2022-12-30,NOP,WIN,-105.0,61.2%,51.2%,10.0%,2.9%,$1273.36,1212.727870095386,43658.203323433896
2022-12-31,NOP,LOSS,220.0,36.2%,31.2%,4.9%,1.0%,$436.58,-436.58203323433895,43221.62129019956
2022-12-31,DET,WIN,245.0,39.4%,29.0%,10.4%,1.0%,$432.22,1058.9297216098894,44280.55101180945
2022-12-31,NYK,WIN,-165.0,67.1%,62.3%,4.8%,1.9%,$842.82,510.79998649008957,44791.350998299546
2022-12-31,BKN,WIN,-250.0,81.7%,71.4%,10.3%,3.0%,$1343.74,537.4962119795944,45328.84721027914
2022-12-31,IND,WIN,120.0,55.0%,45.5%,9.5%,2.5%,$1188.75,1426.5023915486483,46755.34960182779
2023-01-01,MEM,WIN,-170.0,71.7%,63.0%,8.7%,2.9%,$1402.66,825.0944047381377,47580.44400656592
2023-01-02,DAL,WIN,-300.0,76.6%,75.0%,1.6%,0.9%,$450.60,150.1999390077048,47730.643945573625
2023-01-02,LAC,LOSS,-105.0,62.6%,51.2%,11.4%,3.1%,$1431.92,-1431.9193183672087,46298.724627206415
2023-01-02,DEN,LOSS,-170.0,68.3%,63.0%,5.3%,2.2%,$992.21,-992.2098830879128,45306.5147441185
2023-01-02,SAS,LOSS,550.0,17.7%,15.4%,2.3%,0.4%,$182.68,-182.6796800035182,45123.83506411499
2023-01-02,DET,LOSS,350.0,30.6%,22.2%,8.4%,1.0%,$451.24,-451.2383506411499,44672.59671347384
2023-01-02,PHI,WIN,-215.0,70.0%,68.3%,1.7%,0.8%,$369.07,171.65967370281342,44844.256387176654
2023-01-02,CLE,WIN,-170.0,72.3%,63.0%,9.4%,2.9%,$1345.33,791.369230361941,45635.62561753859
2023-01-02,NYK,WIN,-140.0,68.5%,58.3%,10.1%,2.9%,$1369.07,977.90626323297,46613.53188077157
2023-01-03,SAC,WIN,130.0,51.2%,43.5%,7.7%,2.0%,$955.56,1242.2286177071085,47855.760498478674
2023-01-03,OKC,WIN,450.0,31.4%,18.2%,13.2%,1.0%,$478.56,2153.5092224315404,50009.26972091021
2023-01-04,NOP,WIN,-265.0,81.2%,72.6%,8.6%,3.0%,$1500.28,566.1426760857759,50575.41239699599
2023-01-04,MIN,WIN,105.0,56.9%,48.8%,8.1%,2.3%,$1201.94,1262.0370287246938,51837.44942572068
2023-01-04,CHI,WIN,170.0,38.7%,37.0%,1.6%,0.4%,$202.27,343.8574457081412,52181.306871428824
2023-01-04,BKN,LOSS,-190.0,69.5%,65.5%,4.0%,1.8%,$905.68,-905.6831022005734,51275.62376922825
2023-01-04,LAL,WIN,290.0,39.8%,25.6%,14.1%,1.0%,$512.76,1486.9930893076194,52762.61685853587
2023-01-04,MIL,WIN,180.0,47.9%,35.7%,12.2%,2.7%,$1504.34,2707.810758071129,55470.427616607
2023-01-04,PHI,WIN,-200.0,71.6%,66.7%,5.0%,2.2%,$1239.41,619.7065064491944,56090.134123056196
2023-01-04,CLE,WIN,-200.0,72.7%,66.7%,6.0%,2.7%,$1518.39,759.1931730581024,56849.3272961143
2023-01-04,MEM,WIN,-280.0,76.4%,73.7%,2.7%,1.5%,$880.77,314.56082721012615,57163.888123324425
2023-01-05,DEN,WIN,-190.0,76.7%,65.5%,11.1%,3.0%,$1714.92,902.5877072103854,58066.47583053481
2023-01-05,HOU,LOSS,220.0,37.4%,31.2%,6.2%,1.0%,$580.66,-580.6647583053481,57485.81107222946
2023-01-06,NOP,LOSS,155.0,50.1%,39.2%,10.9%,2.8%,$1541.57,-1541.5715618161917,55944.23951041327
2023-01-06,CHA,WIN,380.0,23.8%,20.8%,3.0%,0.6%,$317.16,1205.1988702868903,57149.43838070016
2023-01-06,PHI,LOSS,-200.0,71.1%,66.7%,4.5%,2.1%,$1150.14,-1150.1429310912406,55999.295449608915
2023-01-06,IND,WIN,-125.0,70.0%,55.6%,14.5%,2.9%,$1679.98,1343.983090790614,57343.27854039953
2023-01-06,SAS,WIN,-115.0,60.1%,53.5%,6.6%,2.1%,$1214.50,1056.0912832789777,58399.369823678506
2023-01-07,NOP,LOSS,320.0,30.3%,23.8%,6.5%,1.0%,$583.99,-583.9936982367851,57815.37612544172
2023-01-07,SAS,LOSS,800.0,21.5%,11.1%,10.4%,1.0%,$578.15,-578.1537612544172,57237.2223641873
2023-01-08,ATL,WIN,120.0,49.5%,45.5%,4.0%,1.1%,$630.19,756.2247262384586,57993.447090425754
2023-01-08,PHX,LOSS,195.0,40.3%,33.9%,6.4%,1.0%,$579.93,-579.9344709042575,57413.5126195215
2023-01-08,BKN,WIN,-130.0,64.9%,56.5%,8.4%,2.8%,$1666.02,1281.5528044521134,58695.06542397361
2023-01-08,IND,WIN,-220.0,74.7%,68.8%,6.0%,2.8%,$1685.31,766.0477376498494,59461.11316162346
2023-01-08,PHI,WIN,-210.0,77.5%,67.7%,9.7%,3.0%,$1783.83,849.4444737374781,60310.55763536094
2023-01-08,MEM,WIN,-220.0,72.1%,68.8%,3.3%,1.6%,$962.52,437.5087128949995,60748.06634825594
2023-01-09,ORL,LOSS,215.0,34.6%,31.7%,2.9%,0.6%,$387.47,-387.47270250834504,60360.59364574759
2023-01-09,LAL,LOSS,550.0,19.0%,15.4%,3.6%,0.6%,$382.64,-382.6446779910328,59977.94896775656
2023-01-09,NOP,WIN,105.0,50.8%,48.8%,2.0%,0.6%,$353.81,371.50384533388984,60349.45281309045
2023-01-10,DAL,LOSS,100.0,60.4%,50.0%,10.4%,3.1%,$1810.48,-1810.4835843927135,58538.96922869774
2023-01-10,CHA,LOSS,250.0,36.9%,28.6%,8.3%,1.0%,$585.39,-585.3896922869774,57953.57953641076
2023-01-10,DET,LOSS,800.0,15.1%,11.1%,3.9%,0.7%,$385.77,-385.77428657244894,57567.80524983831
2023-01-10,CLE,LOSS,-140.0,60.6%,58.3%,2.3%,0.8%,$469.55,-469.5463244576661,57098.25892538064
2023-01-11,SAC,WIN,-380.0,83.3%,79.2%,4.2%,3.0%,$1712.35,450.61957985660723,57548.87850523725
2023-01-11,PHX,LOSS,700.0,18.1%,12.5%,5.6%,1.0%,$553.80,-553.8014867380958,56995.07701849915
2023-01-11,SAS,LOSS,700.0,17.5%,12.5%,5.0%,0.9%,$483.65,-483.6548534170143,56511.422165082135
2023-01-11,NOP,LOSS,330.0,26.1%,23.3%,2.8%,0.5%,$309.10,-309.1003430284719,56202.321822053666
2023-01-11,ATL,LOSS,155.0,45.9%,39.2%,6.7%,1.7%,$933.31,-933.3125268036524,55269.00929525001
2023-01-11,CHI,LOSS,-125.0,57.4%,55.6%,1.9%,0.6%,$345.63,-345.6284407680293,54923.380854481984
2023-01-12,CHA,LOSS,260.0,30.9%,27.8%,3.1%,0.6%,$352.71,-352.7087784599311,54570.672076022056
2023-01-12,BKN,LOSS,-105.0,63.2%,51.2%,11.9%,3.1%,$1637.12,-1637.1201622806616,52933.551913741394
2023-01-12,OKC,WIN,375.0,25.6%,21.1%,4.6%,0.8%,$461.15,1729.3056344421514,54662.85754818354
2023-01-13,SAC,WIN,-420.0,83.8%,80.8%,3.0%,2.3%,$1278.84,304.4851612767458,54967.34270946029
2023-01-13,UTA,WIN,-210.0,69.6%,67.7%,1.9%,0.9%,$484.00,230.47614278605263,55197.81885224634
2023-01-13,ORL,LOSS,180.0,40.0%,35.7%,4.3%,1.0%,$551.02,-551.0195478120528,54646.79930443429
2023-01-13,PHX,LOSS,200.0,38.7%,33.3%,5.4%,1.0%,$546.47,-546.4679930443428,54100.33131138994
2023-01-13,OKC,WIN,155.0,43.1%,39.2%,3.9%,0.9%,$521.18,807.8308583595592,54908.1621697495
2023-01-13,SAS,LOSS,280.0,37.5%,26.3%,11.2%,1.0%,$549.08,-549.081621697495,54359.08054805201
2023-01-13,NOP,WIN,-210.0,69.9%,67.7%,2.2%,1.0%,$550.58,262.1826528769392,54621.263200928945
2023-01-14,MIN,WIN,155.0,44.3%,39.2%,5.1%,1.2%,$684.23,1060.5567874155595,55681.819988344505
2023-01-14,UTA,LOSS,245.0,35.4%,29.0%,6.4%,1.0%,$556.82,-556.8181998834451,55125.00178846106
2023-01-14,IND,LOSS,270.0,31.6%,27.0%,4.6%,1.0%,$521.07,-521.0735919613677,54603.92819649969
2023-01-14,MIA,WIN,-175.0,69.5%,63.6%,5.9%,2.4%,$1328.44,759.1068395420439,55363.035036041736
2023-01-14,ATL,WIN,240.0,33.5%,29.4%,4.0%,0.8%,$475.49,1141.1649929379353,56504.20002897967
2023-01-15,LAL,LOSS,180.0,47.8%,35.7%,12.1%,2.9%,$1590.37,-1590.3719750854025,54913.82805389427
2023-01-15,ORL,LOSS,425.0,21.6%,19.0%,2.5%,0.5%,$257.98,-257.984838940762,54655.84321495351
2023-01-15,SAC,WIN,-250.0,74.6%,71.4%,3.2%,1.6%,$906.39,362.55502655533724,55018.39824150885
2023-01-15,DAL,LOSS,320.0,37.2%,23.8%,13.4%,1.0%,$550.18,-550.1839824150885,54468.21425909376
2023-01-16,PHX,LOSS,550.0,20.3%,15.4%,4.9%,0.9%,$474.17,-474.17316271011805,53994.04109638364
2023-01-16,MIN,LOSS,-175.0,68.0%,63.6%,4.4%,1.8%,$973.82,-973.8199518153449,53020.2211445683
2023-01-16,MIA,LOSS,-105.0,56.0%,51.2%,4.8%,1.5%,$777.92,-777.921293648608,52242.29985091969
2023-01-16,NYK,LOSS,-120.0,66.7%,54.5%,12.2%,3.1%,$1567.27,-1567.2689955275907,50675.0308553921
2023-01-16,NOP,LOSS,250.0,37.5%,28.6%,8.9%,1.0%,$506.75,-506.750308553921,50168.28054683818
2023-01-16,IND,LOSS,175.0,47.4%,36.4%,11.1%,2.7%,$1309.42,-1309.4192947506797,48858.861252087496
2023-01-16,LAL,WIN,-280.0,81.6%,73.7%,7.9%,3.0%,$1465.77,523.487799129509,49382.349051217
