PLAYER_NAME,TEAM_ABBREVIATION,GAME_SCORE_AVG,MIN_AVG
Nik Stauskas,BOS,1.3375000000000001,4.875
Rodney Hood,LAC,2.88,11.1
Khem Birch,TOR,1.5799999999999998,8.5
Jerami Grant,POR,14.579999999999998,31.9
Joe Harris,DET,0.96,8.6
Doug McDermott,SAC,2.4200000000000004,7.5
Aaron Gordon,DEN,12.969999999999999,27.2
T.J. Warren,MIN,2.57,10.8
Marcus Smart,LAL,8.91,26.8
Kyle Anderson,UTA,6.849999999999999,19.0
Dwight Powell,DAL,4.01,14.3
Noah Vonleh,BOS,0.25999999999999995,4.0
Julius Randle,MIN,16.31,35.0
Andrew Wiggins,MIA,11.91,32.7
Jabari Parker,BOS,2.2199999999999998,8.5
Joel Embiid,PHI,15.779999999999998,26.7
Danté Exum,DAL,5.040000000000001,18.1
Dario Šarić,SAC,2.63,10.6
Clint Capela,HOU,4.9799999999999995,12.9
Bogdan Bogdanović,LAC,8.719999999999999,26.3
Jusuf Nurkić,UTA,10.36,24.3
Vasilije Micic,PHX,3.4300000000000006,15.8
Nikola Jokić,DEN,30.6,35.2
Kristaps Porziņģis,ATL,16.07,26.0
Tyler Johnson,SAS,2.566666666666667,15.166666666666666
Tim Frazier,CLE,2.6599999999999997,17.4
Langston Galloway,MIL,0.7714285714285712,15.428571428571429
Joe Ingles,MIN,-0.02000000000000004,2.9
T.J. McConnell,IND,9.78,17.5
Tyus Jones,ORL,4.1,16.5
Justin Anderson,IND,6.63,23.8
Montrezl Harrell,PHI,3.55,7.2
Delon Wright,NYK,5.9399999999999995,21.2
D'Angelo Russell,DAL,6.519999999999999,19.4
Karl-Anthony Towns,NYK,20.610000000000003,33.1
Richaun Holmes,WAS,9.36,16.5
Justise Winslow,POR,4.470000000000001,22.8
Willie Cauley-Stein,PHI,1.5099999999999998,7.8
Kelly Oubre Jr.,PHI,12.4,34.8
Frank Kaminsky,HOU,2.3899999999999997,5.8
Devin Booker,PHX,14.879999999999999,33.2
Cameron Payne,NYK,5.699999999999998,20.4
Myles Turner,MIL,8.8,26.1
Trey Lyles,SAC,6.69,26.3
Stanley Johnson,SAS,5.1,20.1
Bobby Portis,MIL,10.189999999999998,21.9
Kevon Looney,NOP,3.8299999999999996,12.3
Christian Wood,LAL,4.43,13.3
Terry Rozier,MIA,3.8699999999999997,17.7
Norman Powell,MIA,16.66,30.3
Pat Connaughton,CHA,4.15,11.1
Willy Hernangomez,NOP,5.38,10.2
Josh Richardson,MIA,2.5800000000000005,18.2
Larry Nance Jr.,CLE,2.4199999999999995,14.5
Keifer Sykes,IND,2.92,16.5
Royce O'Neale,PHX,7.459999999999999,29.2
Cedi Osman,SAS,5.26,17.5
Boban Marjanovic,HOU,2.87,4.5
Ben Simmons,LAC,2.21,14.3
Domantas Sabonis,SAC,15.430000000000001,32.9
Malik Beasley,DET,10.23,29.9
Marquese Chriss,DAL,3.1199999999999997,8.2
Kris Dunn,LAC,9.459999999999999,27.4
Buddy Hield,GSW,7.220000000000001,20.8
Brandon Ingram,TOR,13.7,35.9
Damian Jones,CLE,3.6100000000000003,7.2
Skal Labissiere,SAC,1.1500000000000001,3.0
Caris LeVert,DET,7.38,21.2
Dejounte Murray,NOP,15.969999999999999,31.2
Jamal Murray,DEN,23.419999999999998,35.1
Jakob Poeltl,TOR,9.93,27.2
Taurean Prince,MIL,4.529999999999999,21.5
Denzel Valentine,UTA,3.2199999999999998,12.7
Jaylen Brown,BOS,23.96,36.2
Cat Barber,ATL,-0.7999999999999998,4.333333333333333
DeAndre' Bembry,MIL,1.27,12.5
Malcolm Brogdon,WAS,9.65,21.4
Cheick Diallo,DET,3.0,10.333333333333334
Jake Layman,MIN,2.41,5.7
Georges Niang,ATL,4.249999999999999,18.8
Gary Payton II,GSW,5.43,15.2
Wayne Selden,NYK,0.8000000000000002,6.333333333333333
Pascal Siakam,IND,16.53,32.2
Furkan Korkmaz,PHI,3.9499999999999993,14.5
Timothe Luwawu-Cabarrot,ATL,4.7,18.8
Damion Lee,PHX,1.81,4.6
Tyrone Wallace,NOP,1.0333333333333334,12.5
Petr Cornelie,DEN,0.89,2.4
Juancho Hernangomez,TOR,0.5999999999999996,9.4
Guerschon Yabusele,NYK,2.5,8.8
Ivica Zubac,LAC,15.660000000000002,35.2
Dorian Finney-Smith,LAL,8.459999999999999,31.4
Fred VanVleet,HOU,10.18,35.5
Abdel Nader,PHX,1.1899999999999995,10.1
Ryan Arcidiacono,NYK,-0.31000000000000005,2.4
Bryn Forbes,MIN,2.4799999999999995,10.9
Danuel House Jr.,PHI,4.999999999999999,20.4
Derrick Jones Jr.,LAC,8.43,26.0
Shaquille Harrison,MEM,5.789999999999999,14.7
Alex Caruso,OKC,6.42,17.0
David Nwaba,HOU,3.9799999999999995,11.9
Alfonzo McKinnie,CHI,0.33999999999999997,10.7
Gabe York,IND,4.88,15.2
Markelle Fultz,SAC,3.22,10.3
Lonzo Ball,CLE,6.1,24.8
Josh Jackson,SAC,2.7399999999999998,11.8
De'Aaron Fox,SAS,18.41,32.3
Jayson Tatum,BOS,18.52,35.3
Malik Monk,SAC,9.290000000000001,24.3
Jonathan Isaac,ORL,3.0999999999999996,11.0
Dennis Smith Jr.,BKN,5.279999999999999,15.1
Frank Ntilikina,CHA,3.3299999999999996,16.3
Lauri Markkanen,UTA,18.49,34.7
Donovan Mitchell,CLE,22.119999999999997,35.1
Luke Kennard,ATL,5.5,18.5
Zach Collins,CHI,5.92,17.4
John Collins,LAC,9.129999999999999,29.5
Justin Jackson,MIN,1.0900000000000003,4.0
OG Anunoby,NYK,12.5,29.3
Harry Giles III,LAL,0.8000000000000002,3.2
Jarrett Allen,CLE,11.279999999999998,25.0
Bam Adebayo,MIA,16.1,31.8
D.J. Wilson,PHI,7.316666666666666,11.666666666666666
Isaiah Hartenstein,OKC,12.37,24.8
Tony Bradley,IND,2.21,8.9
Kyle Kuzma,MIL,10.44,26.4
Semi Ojeleye,LAC,2.9799999999999995,9.8
Derrick White,BOS,15.25,33.7
Frank Jackson,UTA,5.779999999999999,18.5
Josh Hart,NYK,17.25,34.9
PJ Dozier,MIN,1.31,6.0
Edmond Sumner,BKN,6.240000000000001,15.6
Wes Iwundu,ATL,4.699999999999999,27.333333333333332
Dillon Brooks,PHX,11.02,31.3
Tyler Dorsey,DAL,2.7000000000000006,2.6666666666666665
Thomas Bryant,CLE,4.43,9.8
Monte Morris,IND,3.6599999999999993,10.8
Kobi Simmons,TOR,3.433333333333333,10.555555555555555
Sterling Brown,LAL,1.4,8.9
Sasha Vezenkov,SAC,3.31,10.1
Vlatko Čančar,DEN,1.4999999999999998,11.2
Davon Reed,LAL,1.31,6.1
Luke Kornet,SAS,8.87,27.0
Chris Boucher,BOS,2.24,12.3
Daniel Theis,NOP,5.729999999999999,20.8
Maxi Kleber,LAL,1.72,12.1
Torrey Craig,BOS,2.06,12.6
Derrick Walton Jr.,DET,5.766666666666667,36.0
Nigel Hayes-Davis,PHX,0.11000000000000013,8.5
Jaylen Morris,SAS,-0.9333333333333332,5.666666666666667
Mychal Mulder,MIA,1.5299999999999996,16.0
Craig Sword,WAS,1.7666666666666666,6.333333333333333
Paul Watson,OKC,2.5444444444444447,17.333333333333332
Grayson Allen,PHX,12.68,28.2
Udoka Azubuike,PHX,0.21999999999999992,5.2
Marvin Bagley III,WAS,11.52,24.1
Mo Bamba,NOP,4.75,13.6
Keita Bates-Diop,BKN,1.28,4.1
Mikal Bridges,NYK,15.039999999999997,34.1
Miles Bridges,CHA,14.13,34.7
Bruce Brown,DEN,5.35,25.2
Troy Brown Jr.,DET,4.09,24.4
Jalen Brunson,NYK,21.53,36.3
Jevon Carter,CHI,4.42,14.4
Wendell Carter Jr.,ORL,10.35,29.4
Hamidou Diallo,WAS,8.129999999999999,19.8
Donte DiVincenzo,MIN,11.309999999999999,32.2
Bruno Fernando,TOR,3.820000000000001,9.3
Melvin Frazier Jr.,OKC,1.4000000000000004,40.0
Shai Gilgeous-Alexander,OKC,28.49,33.4
Devonte' Graham,SAS,4.45,20.3
Aaron Holiday,HOU,6.6,22.2
Kevin Huerter,CHI,6.780000000000001,22.3
Chandler Hutchison,PHX,0.25,3.6666666666666665
Jaren Jackson Jr.,MEM,11.419999999999998,30.5
Alize Johnson,SAS,1.44,6.8
George King,DAL,-0.9999999999999999,4.75
Kevin Knox II,GSW,1.64,5.4
Caleb Martin,DAL,0.77,8.9
Cody Martin,IND,1.9499999999999997,14.0
De'Anthony Melton,GSW,6.5299999999999985,19.8
Chimezie Metu,DET,10.22,31.4
Shake Milton,LAL,2.88,12.7
Svi Mykhailiuk,UTA,5.579999999999999,24.5
Josh Okogie,HOU,5.390000000000001,20.9
Jontay Porter,TOR,5.499999999999999,14.6
Michael Porter Jr.,BKN,21.91,32.8
Jerome Robinson,GSW,1.1700000000000002,4.3
Mitchell Robinson,NYK,6.609999999999999,18.2
Collin Sexton,CHA,11.379999999999999,24.6
Landry Shamet,NYK,8.55,22.6
Anfernee Simons,BOS,8.39,21.6
Gary Trent Jr.,MIL,6.5200000000000005,27.9
Jarred Vanderbilt,LAL,4.34,14.8
Moritz Wagner,ORL,10.370000000000001,18.2
Lonnie Walker IV,PHI,11.23,28.6
P.J. Washington,DAL,12.540000000000001,33.4
Kenrich Williams,OKC,7.529999999999999,20.8
Trae Young,ATL,18.07,31.2
Deandre Ayton,LAL,14.91,28.1
Luka Dončić,LAL,27.330000000000002,37.5
Theo Pinson,DAL,3.339999999999999,13.0
Carsen Edwards,DET,3.3499999999999996,20.0
Goga Bitadze,ORL,8.379999999999999,16.8
Oshae Brissett,PHI,5.069999999999999,19.0
Terence Davis,SAC,2.3999999999999995,11.8
Robert Williams III,POR,9.59,18.2
Rui Hachimura,LAL,7.35,31.5
Isaac Bonga,TOR,1.03,5.0
Tyler Cook,CHI,1.9,8.0
Jack McVeigh,HOU,0.588888888888889,4.888888888888889
Kelan Martin,BOS,2.0900000000000003,11.2
Gary Clark,NOP,2.53,8.2
Jock Landale,MEM,8.959999999999999,19.4
Wenyen Gabriel,MEM,2.1000000000000005,14.5
Duncan Robinson,DET,9.25,29.5
Kendrick Nunn,WAS,7.17,15.1
Yuta Watanabe,MEM,1.2699999999999996,10.3
Emanuel Terry,PHX,-2.4054832200211723e-16,6.0
Jordan McLaughlin,SAS,2.8,7.7
Brandon Goodwin,CLE,1.35,8.7
BJ Johnson,ORL,4.725,16.0
Chris Chiozza,GSW,1.7600000000000002,12.0
Gabe Vincent,LAL,2.7600000000000007,21.3
Drew Eubanks,SAC,3.0299999999999994,13.4
Juan Toscano-Anderson,SAC,0.26999999999999985,5.0
Haywood Highsmith,MIA,6.540000000000001,25.9
Amir Coffey,MIL,0.77,5.4
Jarron Cumberland,POR,0.7333333333333334,4.0
Mamadi Diakite,NYK,3.4799999999999995,8.2
CJ Elleby,POR,7.18,29.9
Tacko Fall,CLE,1.5399999999999998,5.6
Jared Harper,NOP,7.260000000000001,8.6
DaQuan Jeffries,CHA,5.699999999999999,26.6
Terance Mann,BKN,7.589999999999999,24.8
Andrew Nembhard,IND,14.259999999999996,32.9
Reggie Perry,POR,6.779999999999999,18.6
Jalen Pickett,DEN,2.46,9.3
Myles Powell,PHI,0.36000000000000015,4.5
Justin Robinson,DET,0.8099999999999999,10.9
